Thumbnail,ID,Name,SKU,Price,Qty,Visibility,Status,"Special Price",Color,"Shipping Group",Type,Height,"SKU for Parent Description and Specs",Categories,Action
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/0/_/0_11_20150130-pivotbarstool_1.jpg"" alt="""" width=""70"" height=""70"" /></a>",2191,"Pivot Bar Stool",JB-17-ASH#5,$225.00,122,"Catalog, Search",Enabled,,"Bleached Oak",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Stools/Pivot Bar Stool</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Stools</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2191/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/2/_/2_20150130-pivotbartable_2.jpg"" alt="""" width=""70"" height=""70"" /></a>",2190,"Pivot Bar Table",TMCZ-20-WHITE,$325.00,6,"Catalog, Search",Enabled,,"Bleached Oak",,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Tables</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Tables/Bar Tables</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Tables</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2190/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/8/18_20150127-scoop_camel_angle_1_copy_side_copy.jpg"" alt="""" width=""70"" height=""70"" /></a>",2189,"Milano Chair",7131-C-YELLOW,$285.00,32,"Catalog, Search",Enabled,,Saddle,,"Simple Product",,7131,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Milano Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Milano Chair</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2189/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/7/17_20150127-scoop__ebony_angle_1_copy_side.jpg"" alt="""" width=""70"" height=""70"" /></a>",2188,"Milano Chair",7131-C-BLACK,$285.00,40,"Catalog, Search",Enabled,,Black,,"Simple Product",,7131,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Milano Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Milano Chair</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2188/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/5/_/5_20150129-bergamoclubchair_chestnut_front_1.jpg"" alt="""" width=""70"" height=""70"" /></a>",2187,"Bergamo Club Chair",5079-1-LOCALBROWN,"$1,150.00",10,"Catalog, Search",Enabled,,Saddle,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Bergamo Club Chair</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2187/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/6/_/6_20150129-bergamoclubchair_ebony_front_3.jpg"" alt="""" width=""70"" height=""70"" /></a>",2186,"Bergamo Club Chair",5079-1-BLACK,"$1,150.00",10,"Catalog, Search",Enabled,,Black,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Bergamo Club Chair</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2186/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/9/_/9_20150128-cricketsofa_whiteonmint_front_2.jpg"" alt="""" width=""70"" height=""70"" /></a>",2185,"Cricket Sofa",FA-1028L-SF2-RAL6027/G1410,$375.00,10,"Catalog, Search",Disabled,,White,,"Simple Product",,FA-1028L-SF2-COLOR,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Sofas</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Sofas</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2185/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/3/13_20150127-patiolux_latteonwhite_1_copy_side.jpg"" alt="""" width=""70"" height=""70"" /></a>",2184,"Ingrid Chair",FA-1006-SF1-WHITE/G1410,$295.00,10,"Catalog, Search",Enabled,,Natural,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2184/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/4/14_20150127-patiolux_mochaonwhite_1_copy_side.jpg"" alt="""" width=""70"" height=""70"" /></a>",2183,"Ingrid Chair",FA-1006-SF1-WHITE/H1402,$295.00,10,"Catalog, Search",Enabled,,Tan,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2183/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/2/12_20150127-patiolux_blackonblack_angle_1_copy_side.jpg"" alt="""" width=""70"" height=""70"" /></a>",2182,"Ingrid Chair",FA-1006-SF1-BLACK/H1414,$295.00,-16,"Catalog, Search",Enabled,,Black,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Ingrid Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2182/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/1/11_20150127-cricketchair__greenbase_sage_angle_1_copy_side.jpg"" alt="""" width=""70"" height=""70"" /></a>",2181,"Cricket Lounge Chair",FA-1028L-RAL6027/H1411,$250.00,10,"Catalog, Search",Enabled,,Peppermint,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Chairs/Cricket Lounge Chair</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Chairs</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2181/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/1/11_20150128-patioluxsofa_mochaonwhite_front_4.jpg"" alt="""" width=""70"" height=""70"" /></a>",2180,"Ingrid Sofa",FA-1006-SF2-WHITE/H1402,$475.00,15,"Catalog, Search",Enabled,,Tan,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Sofas</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Sofas</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2180/"">Edit</a>"
"<img src=""https://www.industrywest.com/media/catalog/product/cache/0/thumbnail/70x/9df78eab33525d08d6e5fb8d27136e95/1/2/12_20150128-patioluxsofa_blackonblack_front_1.jpg"" alt="""" width=""70"" height=""70"" /></a>",2179,"Ingrid Sofa",FA-1006-SF2-BLACK/H1414,$475.00,15,"Catalog, Search",Enabled,,Black,,"Simple Product",,,"<div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/Upholstery/Sofas</div><div style=""font-size: 90%; margin-bottom: 8px; border-bottom: 1px dotted #bcbcbc;"">IndustryWest/Shop/New Arrivals/Sofas</div>","<a href=""https://www.industrywest.com/lightspeed.php/ampgrid/adminhtml_product/edit/id/2179/"">Edit</a>"
